,acc,auc,mcc,pres,recall,f1,i,repeat_seed
0,0.615,0.675,0.101,0.584,0.615,0.563,0.0,8.0
1,0.583,0.719,0.0,0.556,0.583,0.566,0.0,8.0
2,0.833,1.0,0.632,0.867,0.833,0.815,0.0,8.0
3,0.583,0.657,0.0,0.34,0.583,0.43,0.0,8.0
4,0.833,0.914,0.683,0.87,0.833,0.823,0.0,8.0
5,0.667,0.743,0.357,0.788,0.667,0.593,0.0,8.0
6,0.5,0.686,-0.255,0.318,0.5,0.389,0.0,8.0
7,0.917,0.971,0.837,0.927,0.917,0.915,0.0,8.0
8,0.667,0.829,0.293,0.667,0.667,0.646,0.0,8.0
9,0.833,0.943,0.683,0.87,0.833,0.823,0.0,8.0
10,0.692,0.875,0.365,0.795,0.692,0.621,1.0,16.0
11,0.75,0.781,0.426,0.818,0.75,0.695,1.0,16.0
12,0.75,0.844,0.478,0.771,0.75,0.756,1.0,16.0
13,0.667,0.829,0.357,0.788,0.667,0.593,1.0,16.0
14,0.917,0.886,0.837,0.927,0.917,0.915,1.0,16.0
15,0.833,0.914,0.683,0.87,0.833,0.823,1.0,16.0
16,0.75,0.743,0.478,0.75,0.75,0.744,1.0,16.0
17,0.833,1.0,0.683,0.87,0.833,0.823,1.0,16.0
18,0.583,0.857,0.0,0.34,0.583,0.43,1.0,16.0
19,0.417,0.4,-0.378,0.292,0.417,0.343,1.0,16.0
20,0.769,0.8,0.501,0.767,0.769,0.763,2.0,32.0
21,0.75,0.844,0.408,0.741,0.75,0.739,2.0,32.0
22,0.833,1.0,0.632,0.867,0.833,0.815,2.0,32.0
23,0.75,0.914,0.529,0.825,0.75,0.718,2.0,32.0
24,0.75,0.857,0.529,0.825,0.75,0.718,2.0,32.0
25,0.667,0.971,0.357,0.788,0.667,0.593,2.0,32.0
26,0.667,0.886,0.357,0.788,0.667,0.593,2.0,32.0
27,0.583,0.571,0.076,0.558,0.583,0.531,2.0,32.0
28,0.5,0.486,-0.098,0.463,0.5,0.469,2.0,32.0
29,0.917,0.971,0.837,0.927,0.917,0.915,2.0,32.0
30,0.615,0.7,0.158,0.603,0.615,0.605,3.0,64.0
31,0.667,0.75,0.158,0.633,0.667,0.63,3.0,64.0
32,1.0,1.0,1.0,1.0,1.0,1.0,3.0,64.0
33,0.75,0.829,0.478,0.75,0.75,0.744,3.0,64.0
34,0.75,0.914,0.529,0.825,0.75,0.718,3.0,64.0
35,0.75,0.971,0.529,0.825,0.75,0.718,3.0,64.0
36,0.583,0.514,0.0,0.34,0.583,0.43,3.0,64.0
37,0.667,0.914,0.357,0.788,0.667,0.593,3.0,64.0
38,0.583,0.571,0.076,0.558,0.583,0.531,3.0,64.0
39,0.833,0.971,0.683,0.87,0.833,0.823,3.0,64.0
40,0.769,0.925,0.539,0.832,0.769,0.738,4.0,128.0
41,0.667,0.531,0.0,0.444,0.667,0.533,4.0,128.0
42,0.833,1.0,0.632,0.867,0.833,0.815,4.0,128.0
43,0.667,0.743,0.293,0.667,0.667,0.646,4.0,128.0
44,0.667,0.886,0.293,0.667,0.667,0.646,4.0,128.0
45,0.75,0.8,0.529,0.825,0.75,0.718,4.0,128.0
46,0.75,0.486,0.529,0.825,0.75,0.718,4.0,128.0
47,0.417,0.657,-0.378,0.292,0.417,0.343,4.0,128.0
48,0.833,0.943,0.657,0.833,0.833,0.833,4.0,128.0
49,0.75,0.771,0.478,0.75,0.75,0.744,4.0,128.0
50,0.692,0.775,0.365,0.795,0.692,0.621,5.0,256.0
51,0.667,0.688,0.25,0.667,0.667,0.667,5.0,256.0
52,0.833,1.0,0.632,0.867,0.833,0.815,5.0,256.0
53,0.583,0.543,0.12,0.573,0.583,0.574,5.0,256.0
54,0.5,0.6,-0.098,0.463,0.5,0.469,5.0,256.0
55,0.75,0.914,0.529,0.825,0.75,0.718,5.0,256.0
56,0.667,0.829,0.357,0.788,0.667,0.593,5.0,256.0
57,0.75,0.829,0.529,0.825,0.75,0.718,5.0,256.0
58,0.667,1.0,0.357,0.788,0.667,0.593,5.0,256.0
59,0.667,0.914,0.293,0.667,0.667,0.646,5.0,256.0
60,0.769,0.85,0.501,0.767,0.769,0.763,6.0,1024.0
61,0.667,0.812,0.25,0.667,0.667,0.667,6.0,1024.0
62,0.75,0.75,0.426,0.818,0.75,0.695,6.0,1024.0
63,0.75,0.914,0.529,0.825,0.75,0.718,6.0,1024.0
64,0.583,0.829,0.0,0.34,0.583,0.43,6.0,1024.0
65,0.417,0.257,-0.239,0.396,0.417,0.404,6.0,1024.0
66,0.667,0.743,0.293,0.667,0.667,0.646,6.0,1024.0
67,0.75,0.829,0.529,0.825,0.75,0.718,6.0,1024.0
68,0.667,0.714,0.357,0.788,0.667,0.593,6.0,1024.0
69,0.833,1.0,0.683,0.87,0.833,0.823,6.0,1024.0
70,0.692,0.8,0.318,0.687,0.692,0.671,7.0,2048.0
71,0.917,0.844,0.816,0.926,0.917,0.913,7.0,2048.0
72,0.833,0.906,0.625,0.833,0.833,0.833,7.0,2048.0
73,0.583,0.686,0.076,0.558,0.583,0.531,7.0,2048.0
74,0.667,0.886,0.357,0.788,0.667,0.593,7.0,2048.0
75,0.583,0.486,0.076,0.558,0.583,0.531,7.0,2048.0
76,0.75,0.971,0.529,0.825,0.75,0.718,7.0,2048.0
77,0.667,0.8,0.357,0.788,0.667,0.593,7.0,2048.0
78,0.667,0.743,0.293,0.667,0.667,0.646,7.0,2048.0
79,0.75,0.829,0.529,0.825,0.75,0.718,7.0,2048.0
80,0.615,1.0,0.0,0.379,0.615,0.469,8.0,4096.0
81,0.75,0.906,0.478,0.771,0.75,0.756,8.0,4096.0
82,0.75,0.781,0.478,0.771,0.75,0.756,8.0,4096.0
83,0.833,1.0,0.683,0.87,0.833,0.823,8.0,4096.0
84,0.667,0.686,0.293,0.667,0.667,0.646,8.0,4096.0
85,0.667,0.686,0.293,0.667,0.667,0.646,8.0,4096.0
86,0.583,0.629,0.076,0.558,0.583,0.531,8.0,4096.0
87,0.667,0.857,0.357,0.788,0.667,0.593,8.0,4096.0
88,0.75,0.971,0.529,0.825,0.75,0.718,8.0,4096.0
89,0.75,0.857,0.529,0.825,0.75,0.718,8.0,4096.0
90,0.615,0.75,0.158,0.603,0.615,0.605,9.0,8192.0
91,0.667,0.625,0.0,0.444,0.667,0.533,9.0,8192.0
92,0.833,0.812,0.632,0.867,0.833,0.815,9.0,8192.0
93,0.833,0.886,0.657,0.833,0.833,0.833,9.0,8192.0
94,0.583,0.629,0.076,0.558,0.583,0.531,9.0,8192.0
95,0.583,0.943,0.0,0.34,0.583,0.43,9.0,8192.0
96,0.75,0.829,0.478,0.75,0.75,0.744,9.0,8192.0
97,0.75,0.914,0.529,0.825,0.75,0.718,9.0,8192.0
98,0.75,0.857,0.529,0.825,0.75,0.718,9.0,8192.0
99,0.833,0.971,0.683,0.87,0.833,0.823,9.0,8192.0
