,acc,auc,mcc,pres,recall,f1,i,repeat_seed
0,0.958,1.0,0.92,0.962,0.958,0.958,0.0,8.0
1,0.792,0.826,0.585,0.794,0.792,0.791,0.0,8.0
2,0.913,0.962,0.826,0.913,0.913,0.913,0.0,8.0
3,0.957,0.955,0.916,0.96,0.957,0.956,0.0,8.0
4,0.87,0.932,0.74,0.872,0.87,0.869,0.0,8.0
5,0.826,0.803,0.652,0.826,0.826,0.826,0.0,8.0
6,0.739,0.917,0.489,0.748,0.739,0.738,0.0,8.0
7,0.783,0.932,0.568,0.786,0.783,0.783,0.0,8.0
8,0.826,0.879,0.699,0.872,0.826,0.822,0.0,8.0
9,0.957,0.977,0.916,0.96,0.957,0.956,0.0,8.0
10,0.833,0.854,0.667,0.833,0.833,0.833,1.0,16.0
11,0.667,0.778,0.338,0.671,0.667,0.664,1.0,16.0
12,0.957,0.977,0.916,0.96,0.957,0.956,1.0,16.0
13,0.87,0.97,0.742,0.873,0.87,0.87,1.0,16.0
14,0.826,0.977,0.699,0.872,0.826,0.822,1.0,16.0
15,0.87,0.947,0.742,0.873,0.87,0.87,1.0,16.0
16,0.913,0.97,0.84,0.926,0.913,0.913,1.0,16.0
17,0.913,0.977,0.837,0.925,0.913,0.912,1.0,16.0
18,0.783,0.924,0.568,0.786,0.783,0.783,1.0,16.0
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0
20,0.875,0.924,0.753,0.878,0.875,0.875,2.0,32.0
21,0.792,0.944,0.602,0.811,0.792,0.788,2.0,32.0
22,0.957,0.992,0.917,0.96,0.957,0.957,2.0,32.0
23,0.826,0.795,0.659,0.835,0.826,0.824,2.0,32.0
24,0.826,0.992,0.699,0.872,0.826,0.822,2.0,32.0
25,0.826,0.932,0.664,0.837,0.826,0.825,2.0,32.0
26,0.913,0.955,0.84,0.926,0.913,0.913,2.0,32.0
27,0.957,0.97,0.917,0.96,0.957,0.957,2.0,32.0
28,0.783,0.902,0.589,0.805,0.783,0.78,2.0,32.0
29,0.826,0.924,0.652,0.826,0.826,0.826,2.0,32.0
30,0.958,0.972,0.92,0.962,0.958,0.958,3.0,64.0
31,0.917,0.972,0.845,0.929,0.917,0.916,3.0,64.0
32,0.87,0.977,0.768,0.898,0.87,0.868,3.0,64.0
33,0.87,0.856,0.74,0.872,0.87,0.869,3.0,64.0
34,0.783,0.886,0.565,0.784,0.783,0.782,3.0,64.0
35,0.87,0.947,0.768,0.898,0.87,0.868,3.0,64.0
36,0.87,0.864,0.74,0.872,0.87,0.869,3.0,64.0
37,0.957,0.985,0.917,0.96,0.957,0.957,3.0,64.0
38,0.783,0.902,0.565,0.784,0.783,0.782,3.0,64.0
39,0.783,0.886,0.589,0.805,0.783,0.78,3.0,64.0
40,0.958,0.986,0.92,0.962,0.958,0.958,4.0,128.0
41,0.833,0.889,0.667,0.833,0.833,0.833,4.0,128.0
42,0.783,0.879,0.568,0.786,0.783,0.783,4.0,128.0
43,0.913,1.0,0.837,0.925,0.913,0.912,4.0,128.0
44,0.826,0.886,0.699,0.872,0.826,0.822,4.0,128.0
45,0.87,0.985,0.742,0.873,0.87,0.87,4.0,128.0
46,0.783,0.947,0.589,0.805,0.783,0.78,4.0,128.0
47,0.87,0.985,0.742,0.873,0.87,0.87,4.0,128.0
48,0.913,0.902,0.826,0.913,0.913,0.913,4.0,128.0
49,0.652,0.856,0.303,0.652,0.652,0.652,4.0,128.0
50,0.833,0.931,0.676,0.843,0.833,0.832,5.0,256.0
51,0.958,0.972,0.92,0.962,0.958,0.958,5.0,256.0
52,0.826,0.962,0.664,0.837,0.826,0.825,5.0,256.0
53,0.826,0.955,0.652,0.826,0.826,0.826,5.0,256.0
54,0.913,0.97,0.837,0.925,0.913,0.912,5.0,256.0
55,1.0,1.0,1.0,1.0,1.0,1.0,5.0,256.0
56,0.826,0.848,0.664,0.837,0.826,0.825,5.0,256.0
57,0.826,0.856,0.664,0.837,0.826,0.825,5.0,256.0
58,0.783,0.886,0.589,0.805,0.783,0.78,5.0,256.0
59,0.826,0.962,0.664,0.837,0.826,0.825,5.0,256.0
60,0.75,0.944,0.507,0.757,0.75,0.748,6.0,1024.0
61,0.875,0.903,0.775,0.9,0.875,0.873,6.0,1024.0
62,0.913,0.985,0.84,0.926,0.913,0.913,6.0,1024.0
63,0.739,0.902,0.516,0.775,0.739,0.733,6.0,1024.0
64,0.87,0.879,0.74,0.872,0.87,0.869,6.0,1024.0
65,0.783,0.856,0.589,0.805,0.783,0.78,6.0,1024.0
66,0.913,0.955,0.84,0.926,0.913,0.913,6.0,1024.0
67,0.913,0.985,0.84,0.926,0.913,0.913,6.0,1024.0
68,0.87,0.97,0.768,0.898,0.87,0.868,6.0,1024.0
69,0.913,0.955,0.826,0.913,0.913,0.913,6.0,1024.0
70,0.792,0.951,0.585,0.794,0.792,0.791,7.0,2048.0
71,0.792,0.819,0.585,0.794,0.792,0.791,7.0,2048.0
72,0.913,0.917,0.837,0.925,0.913,0.912,7.0,2048.0
73,0.87,0.97,0.74,0.872,0.87,0.869,7.0,2048.0
74,0.913,0.992,0.84,0.926,0.913,0.913,7.0,2048.0
75,0.739,0.848,0.477,0.739,0.739,0.739,7.0,2048.0
76,0.826,0.879,0.664,0.837,0.826,0.825,7.0,2048.0
77,0.913,0.992,0.826,0.913,0.913,0.913,7.0,2048.0
78,0.783,0.962,0.589,0.805,0.783,0.78,7.0,2048.0
79,0.913,0.962,0.826,0.913,0.913,0.913,7.0,2048.0
80,0.792,0.861,0.585,0.794,0.792,0.791,8.0,4096.0
81,0.833,0.903,0.707,0.875,0.833,0.829,8.0,4096.0
82,0.783,0.902,0.565,0.784,0.783,0.782,8.0,4096.0
83,0.826,0.947,0.691,0.87,0.826,0.819,8.0,4096.0
84,1.0,1.0,1.0,1.0,1.0,1.0,8.0,4096.0
85,0.87,0.902,0.742,0.873,0.87,0.87,8.0,4096.0
86,0.913,0.985,0.826,0.913,0.913,0.913,8.0,4096.0
87,0.826,0.894,0.652,0.826,0.826,0.826,8.0,4096.0
88,0.87,0.962,0.742,0.873,0.87,0.87,8.0,4096.0
